Seconds	Methods
10	7
20	10
30	10
40	10
50	10
60	11
70	11
80	11
90	11
100	11
110	11
120	11
130	11
140	11
150	11
160	11
170	11
180	11
190	11
200	11
210	11
220	11
230	11
240	11
250	11
260	11
270	11
280	11
290	11
300	11
310	11
320	11
330	11
340	11
350	11
360	11
370	11
380	11
390	11
400	11
410	11
420	11
430	11
440	11
450	11
460	11
470	11
480	11
490	11
500	11
510	11
520	11
530	11
540	11
550	11
560	11
570	11
580	11
590	11
600	11
610	11
620	11
630	11
640	11
650	11
660	11
670	11
680	11
690	11
700	11
710	11
720	11
730	11
740	11
750	11
760	11
770	11
780	11
790	11
800	11
810	11
820	11
830	11
840	11
850	11
860	11
870	11
880	11
890	11
900	11
910	11
920	11
930	11
940	11
950	11
960	11
970	11
980	11
990	11
1000	11
1010	11
1020	11
1030	11
1040	11
1050	11
1060	11
1070	11
1080	11
1090	11
1100	11
1110	11
1120	11
1130	11
1140	11
1150	11
1160	11
1170	11
1180	11
1190	11
1200	11
1210	11
1220	11
1230	11
1240	11
1250	11
1260	11
1270	11
1280	11
1290	11
1300	11
1310	11
1320	11
1330	11
1340	11
1350	11
1360	11
1370	11
1380	11
1390	11
1400	11
1410	11
1420	11
1430	11
1440	11
1450	11
1460	11
1470	11
1480	11
1490	11
1500	11
1510	11
1520	11
1530	11
1540	11
1550	11
1560	11
1570	11
1580	11
1590	11
1600	11
1610	11
1620	11
1630	11
1640	11
1650	11
1660	11
1670	11
1680	11
1690	11
1700	11
1710	11
1720	11
1730	11
1740	11
1750	11
1760	11
1770	11
1780	11
1790	11
1800	11
1810	11
1820	11
1830	11
1840	11
1850	11
1860	11
1870	11
1880	11
1890	11
1900	11
1910	11
1920	11
1930	11
1940	11
1950	11
1960	11
1970	11
1980	11
1990	11
2000	11
2010	11
2020	11
2030	11
2040	11
2050	11
2060	11
2070	11
2080	11
2090	11
2100	11
2110	11
2120	11
2130	11
2140	11
2150	11
2160	11
2170	11
2180	11
2190	11
2200	11
2210	11
2220	11
2230	11
2240	11
2250	11
2260	11
2270	11
2280	11
2290	11
2300	11
2310	11
2320	11
2330	11
2340	11
2350	11
2360	11
2370	11
2380	11
2390	11
2400	11
2410	11
2420	11
2430	11
2440	11
2450	11
2460	11
2470	11
2480	11
2490	11
2500	11
2510	11
2520	11
2530	11
2540	11
2550	11
2560	11
2570	11
2580	11
2590	11
2600	11
2610	11
2620	11
2630	11
2640	11
2650	11
2660	11
2670	11
2680	11
2690	11
2700	11
2710	11
2720	11
2730	11
2740	11
2750	11
2760	11
2770	11
2780	11
2790	11
2800	11
2810	11
2820	11
2830	11
2840	11
2850	11
2860	11
2870	11
2880	11
2890	11
2900	11
2910	11
2920	11
2930	11
2940	11
2950	11
2960	11
2970	11
2980	11
2990	11
3000	11
3010	11
3020	11
3030	11
3040	11
3050	11
3060	11
3070	11
3080	11
3090	11
3100	11
3110	11
3120	11
3130	11
3140	11
3150	11
3160	11
3170	11
3180	11
3190	11
3200	11
3210	11
3220	11
3230	11
3240	11
3250	11
3260	11
3270	11
3280	11
3290	11
3300	11
3310	11
3320	11
3330	11
3340	11
3350	11
3360	11
3370	11
3380	11
3390	11
3400	11
3410	11
3420	11
3430	11
3440	11
3450	11
3460	11
3470	11
3480	11
3490	11
3500	11
3510	11
3520	11
3530	11
3540	11
3550	11
3560	11
3570	11
3580	11
3590	11
3600	11
